,price,m2,age,floor,total_room,district_encoded,neighbor_encoded
4054,5400000,65,2,1.0,2,7340518.640677966,9162250.0
4055,3900000,75,11,4.0,3,7736038.525691699,7842480.0
4056,2725000,83,24,0.0,3,9683732.91925466,5113928.571428572
4058,19500000,110,6,6.0,3,18766793.31306991,21011136.363636363
4061,3865000,80,11,2.0,3,7962301.739130435,5226666.666666667
4062,5650000,115,1,12.0,4,3909949.1525423727,3428043.4782608696
4064,11500000,144,5,5.0,2,7962301.739130435,8317777.777777778
4065,1450000,80,4,9.0,2,2769582.4657534244,4676827.383297645
4066,7500000,160,12,8.0,5,9683732.91925466,6540302.631578947
4067,2600000,85,25,1.0,3,8397364.775800712,3658924.0506329113
4068,4649000,95,0,0.5,3,5367273.031914894,6520022.704545454
4069,6000000,135,17,3.0,4,6559200.238609113,6188653.333333333
4070,4850000,150,8,2.0,4,5297494.923337092,5057080.0
4071,6000000,160,40,7.0,4,8397364.775800712,3762500.0
4072,8950000,85,0,3.0,3,18766793.31306991,13471150.0
4073,6499000,150,0,6.0,4,5848907.837837838,6699800.0
4074,6280000,130,4,0.0,4,7962301.739130435,6826884.057971015
4076,3395000,140,12,4.0,4,2769582.4657534244,2241192.821428572
4078,15500000,198,25,12.0,5,8508896.555172414,8019684.777173913
4079,7250000,130,31,2.0,4,5297494.923337092,9753616.279069768
4082,2915000,95,0,0.5,3,5297494.923337092,3367270.833333333
4084,1579999,145,4,4.0,4,2769582.4657534244,4107124.9583333335
4085,3000000,130,26,1.0,4,4138010.251282051,3517362.068965517
4086,11000000,90,23,0.0,3,20111125.68306011,24090384.615384616
4087,41000000,200,35,4.0,5,18840772.21851852,32659285.71428572
4090,3250000,95,0,1.0,3,2769582.4657534244,2487814.777777778
4092,1975000,110,5,3.0,3,4970295.55403868,3526234.2890625
4094,2575000,91,0,3.0,3,2769582.4657534244,4107124.9583333335
4095,6650000,128,5,9.0,3,3909949.1525423727,3497714.285714286
4096,23500000,200,0,4.0,5,11259699.059561128,15475294.11764706
4097,5500000,110,8,8.0,4,7437451.282051282,5049988.159763314
4098,3400000,130,33,3.0,4,4871095.435684647,4813621.621621622
4099,4200000,75,33,0.0,3,11259699.059561128,12709090.909090908
4100,5980000,165,10,3.0,4,7736038.525691699,9194069.76744186
4105,3750000,190,0,3.0,5,4970295.55403868,5269146.553333334
4107,6750000,150,0,2.0,4,4970295.55403868,5565384.615384615
4108,3950000,160,16,6.0,4,4970295.55403868,6134857.085714285
4109,5900000,220,8,3.0,4,2769582.4657534244,3705249.9285714286
4111,10000000,135,8,12.0,4,20111125.68306011,17814285.714285713
4112,3500000,75,0,-1.0,2,5749051.802409639,4438371.212121212
4113,3600000,100,0,1.0,3,3884916.195530726,3494846.153846154
4116,10500000,185,25,0.0,4,11981780.303030305,17206197.183098592
4117,3350000,145,5,2.0,4,2769582.4657534244,5057080.0
4120,3600000,110,5,0.0,4,5297494.923337092,6343338.129496403
4121,11250000,98,0,0.0,3,11259699.059561128,14628409.090909092
4122,4700000,80,5,1.0,3,5877304.964539007,5730666.666666667
4123,12200000,90,31,0.5,3,18766793.31306991,21011136.363636363
4125,2250000,85,35,0.0,2,6559200.238609113,4462624.113475177
4126,3395000,95,0,2.0,3,4138010.251282051,3558757.575757576
4127,7999000,120,38,1.0,3,6559200.238609113,12699506.787330316
4128,2750000,80,1,-1.0,3,8011979.826612903,6994235.820895523
4129,6500000,110,0,2.0,4,7754128.301886792,7877575.757575758
4130,3900000,75,7,3.0,3,6559200.238609113,4249098.484848484
4131,6150000,110,36,10.0,4,7962301.739130435,9986363.636363637
4132,2750000,77,0,0.0,2,4970295.55403868,5269146.553333334
4134,7550000,110,25,12.0,3,8397364.775800712,6772875.166666667
4135,1650000,134,12,0.0,3,2769582.4657534244,2400588.2352941176
4136,3500000,100,26,2.0,3,6559200.238609113,8573454.545454545
4137,9200000,200,8,0.5,6,5749051.802409639,6577302.325581395
4138,3100000,90,19,0.0,3,8397364.775800712,5232405.405405405
4139,6600000,110,15,2.0,3,11259699.059561128,5508072.727272728
