price,m2,age,floor,district,neighbor,total_room
6350000,100,5,0.0,Maltepe,Çınar Mah.,3
12900000,130,6,4.0,Maltepe,Yalı Mah.,4
7900000,145,30,2.0,Maltepe,Altayçeşme Mah.,4
6950000,90,6,4.0,Maltepe,Küçükyalı Mah.,3
6950000,95,0,0.0,Maltepe,Altıntepe Mah.,3
5500000,65,5,0.0,Maltepe,İdealtepe Mah.,2
4450000,70,2,0.0,Maltepe,Altıntepe Mah.,2
3975000,65,7,2.0,Maltepe,Aydınevler Mah.,2
2175000,85,21,6.0,Şişli,Gülbahar Mah.,3
6950000,210,11,5.0,Bahçelievler,Cumhuriyet Mah.,6
33000000,110,5,3.0,Şişli,Harbiye Mah.,3
49000000,160,40,4.0,Şişli,Harbiye Mah.,4
2775000,70,39,2.0,Fatih,Seyyid Ömer Mah.,3
1400000,80,35,0.0,Fatih,Cerrahpaşa Mah.,3
3300000,110,1,2.0,Beylikdüzü,Adnan Kahveci Mah.,3
4350000,80,0,4.0,Tuzla,Yayla Mah.,3
12490000,95,35,0.0,Beşiktaş,Etiler Mah.,3
2200000,155,30,0.0,Fatih,Derviş Ali Mah.,3
3990000,70,44,4.0,Kartal,Kordonboyu Mah.,2
8100000,200,18,5.0,Pendik,Yayalar Mah.,6
6750000,176,48,3.0,Bakırköy,Yenimahalle Mah.,5
8250000,140,20,1.0,Eyüpsultan,Göktürk Merkez Mah.,4
16100000,160,3,2.0,Sarıyer,Maden Mah.,4
5500000,67,50,3.0,Beşiktaş,Sinanpaşa Mah.,2
7475000,177,5,3.0,Kartal,Hürriyet Mah.,3
5100000,180,17,3.0,Pendik,Orhangazi Mah.,5
5400000,105,11,0.5,Ataşehir,Örnek Mah.,3
4185000,90,0,3.0,Silivri,Selimpaşa Mah.,3
6150000,190,9,4.0,Beylikdüzü,Kavaklı Mah.,6
4300000,90,7,3.0,Eyüpsultan,Güzeltepe Mah.,3
2350000,100,8,3.0,Beylikdüzü,Cumhuriyet Mah.,3
5499999,180,8,3.0,Sancaktepe,Mevlana Mah.,5
3800000,70,5,0.5,Eyüpsultan,Mithatpaşa Mah.,2
23900000,130,4,8.0,Kadıköy,Suadiye Mah.,4
3200000,65,3,7.0,Kağıthane,Şirintepe Mah.,2
11850000,240,5,5.0,Bayrampaşa,Kocatepe Mah.,6
2900000,95,31,3.0,Gaziosmanpaşa,Şemsipaşa Mah.,3
4200000,95,11,2.0,Gaziosmanpaşa,Barbaros Hayrettinpaşa Mah.,3
3250000,90,31,5.0,Bayrampaşa,Yıldırım Mah.,3
44850000,300,3,13.0,Zeytinburnu,Kazlıçeşme Mah.,5
7150000,100,0,3.0,Eyüpsultan,Mithatpaşa Mah.,4
8350000,115,5,3.0,Eyüpsultan,Mithatpaşa Mah.,3
19750000,130,0,6.0,Kadıköy,Erenköy Mah.,4
4200000,85,8,1.0,Kartal,Hürriyet Mah.,2
12250000,110,7,11.0,Kadıköy,Bostancı Mah.,3
22950000,140,4,0.5,Kadıköy,Fenerbahçe Mah.,3
31950000,205,4,10.0,Kadıköy,Suadiye Mah.,6
4950000,80,5,5.0,Kartal,Hürriyet Mah.,2
14000000,140,5,0.0,Eyüpsultan,Mithatpaşa Mah.,3
14900000,142,4,18.0,Kartal,Kordonboyu Mah.,4
8800000,90,0,7.0,Kadıköy,Merdivenköy Mah.,3
15250000,97,12,1.0,Kadıköy,Feneryolu Mah.,3
7700000,270,4,4.0,Küçükçekmece,Cumhuriyet Mah.,8
5700000,170,0,4.0,Küçükçekmece,Cumhuriyet Mah.,5
12850000,343,4,24.0,Kartal,Topselvi Mah.,5
5445000,245,5,3.0,Sancaktepe,Merve Mah.,5
4499000,100,5,2.0,Sancaktepe,Safa Mah.,3
5000000,140,8,4.0,Beylikdüzü,Gürpınar Mah.,4
2250000,110,28,0.5,Kağıthane,Ortabayır Mah.,3
8000000,80,5,0.0,Bahçelievler,Bahçelievler Mah.,3
16450000,115,5,1.0,Kadıköy,19 Mayıs Mah.,4
8950000,170,3,5.0,Kartal,Cevizli Mah.,6
10500000,120,7,2.0,Üsküdar,Mimar Sinan Mah.,4
16450000,95,6,1.0,Kadıköy,19 Mayıs Mah.,4
5975000,65,6,0.0,Maltepe,İdealtepe Mah.,2
19750000,200,0,9.0,Kadıköy,Suadiye Mah.,5
4150000,130,26,3.0,Maltepe,Zümrütevler Mah.,4
24500000,165,32,11.0,Kadıköy,Göztepe Mah.,5
2200000,75,13,-0.5,Bayrampaşa,Yenidoğan Mah.,3
13550000,141,29,9.0,Ataşehir,Atatürk Mah.,4
19500000,130,1,8.0,Kadıköy,Suadiye Mah.,4
8450000,80,1,3.0,Maltepe,Küçükyalı Mah.,3
10475000,110,4,1.0,Maltepe,İdealtepe Mah.,4
6750000,170,8,4.0,Avcılar,Cihangir Mah.,5
